TestName,ChannelName
315,IBC 24
316,India News UP
317,India Voice
318,Jinvani
319,Kashish News
320,Khabar Fast
321,Khabrein Abhi Tak
322,Lord Buddha TV
323,DD Girnar
324,DD Kashir
325,Hindi Khabhar
326,Discovery HD Hindi
327,Discovery HD Bangla
328,Discovery HD Malayalam
329,Discovery HD Kannada
330,Discovery Kids Kannada
331,Discovery Kids Malayalam
332,ABP Asmita
333,TV9 Kannada
334,TV9 Marathi
335,TV9 Gujarati
336,TV9 Telugu
337,Mastii
338,Dillagi
339,Total TV
340,Dhamaal
341,Maiboli
342,Dabangg
343,Anjan TV
344,DD NE
345,DD Oriya
346,Imayam TV
347,India News
348,India News Haryana
349,India News MP
350,India News Rajasthan
351,Kappa TV
352,Madha TV
353,Malai Murasu TV
354,Moon TV
355,News X
356,Saam
357,Taaza
358,Tunes 6
359,WOW Cinema
360,Big Magic
361,Big Ganga
362,Zee Marathi HD
363,Zee Biskope
364,Shiksha TV
365,Zee Sarthak
366,Zee Punjabi
367,Zee Thirai
368,Zee Keralam
369,Epic TV
370,ShowBox
371,EUROSPORT HD
372,Boogle Bollywood
373,DD Retro
374,YTV India HD
375,News 1 India
376,Kite Victers
377,Shree Jagannath Rath Yatra
378,Colors
379,Colors Cineplex HD
380,Colors Oriya
381,News18 Kerala
382,News18 Assam North East
383,Colors HD
384,News18 Urdu
385,Colors Rishtey
386,Colors Marathi
387,Colors Marathi HD
388,Colors Bangla
389,Colors Bangla HD
390,Colors Kannada
391,Colors Kannada HD
392,Colors Super
393,Colors Tamil
394,Colors Tamil HD 
395,Colors Gujarati
396,Colors Cineplex
397,Nick
398,Nick HD+
399,Sonic
400,Nick Jr
401,History TV18
402,History TV18 HD
403,MTV
404,MTV HD+
405,MTV Beats
406,MTV Beats HD
407,CNN News18
408,News18 India
409,News18 Punjab Haryana Himachal Pradesh
410,News18 Madhya Pradesh Chhattisgarh
411,News18 Uttar Pradesh Uttarakhand
412,News18 Bihar Jharkhand
413,News18 Rajasthan
414,News18 Lokmat
415,News18 Bangla
416,News18 Gujarati
417,News18 Kannada
418,News18 Odia
419,News18 Tamil Nadu
420,Colors Gujarati Cinema
421,Colors Kannada Cinema
422,Colors Infinity
423,Colors Infinity HD
424,Comedy Central
425,Comedy Central HD
426,CNBC TV18
427,CNBC TV18 Prime HD
428,CNBC Awaaz
429,CNBC Bazaar
430,Rishtey Cineplex
431,Colors Bangla Cinema
432,Astroscience
433,Shemaroo TV
434,Shemaroo Marathi Bana
435,Nimbark TV
436,P Tunes
437,C News
438,AB Star News
439,Sanatan TV
440,Pashupatinath Temple
441,Vision Punjab Tv
442,Anaadi TV
443,Dainik Savera
444,Samachar 24
445,SSV TV
446,Express TV
447,ND24
448,Sristi TV
449,35mm
450,Atmadarshan
451,ANN News
452,News Time Assam
453,VR Live
454,Samachar Express TV
455,Mydreams TV
456,V News
457,Today News 24
458,Pulse 24
459,JanSetu News
460,Gbn24 News
